from_stop_id,to_stop_id,dist,from_route_id,to_route_id,schedule_precedence
99737,98423,0.45,,,
98423,97945,0.5,,,
97945,98423,0.5,,,
162941,163963,0.4,,,
163293,163963,0.3,,,
162941,163968,0.44,,,
163293,163968,0.35,,,
163293,163974,0.45,,,
32904,33590,0.48,,,
33590,32904,0.48,,,
65676,65712,0.38,,,
65712,65676,0.38,,,
65676,66381,0.45,,,
66381,65676,0.45,,,
65676,66388,0.35,,,
66388,65676,0.35,,,
65676,66397,0.28,,,
66397,65676,0.28,,,
66405,65676,0.25,,,
65676,66412,0.27,,,
66412,65676,0.27,,,
65676,66423,0.32,,,
66423,65676,0.32,,,
65676,66436,0.46,,,
66436,65676,0.46,,,
65676,65344,0.46,,,
65344,65676,0.46,,,
32243,32933,0.35,,,
32933,32608,0.17,,,
32608,32933,0.17,,,
33507,32940,0.23,,,
32243,32940,0.45,,,
32940,32608,0.46,,,
32608,32940,0.46,,,
32940,32763,0.09,,,
32763,32940,0.09,,,
65712,66405,0.45,,,
66405,65712,0.45,,,
65712,66412,0.37,,,
66412,65712,0.37,,,
65712,66423,0.3,,,
66423,65712,0.3,,,
65712,66436,0.25,,,
66436,65712,0.25,,,
66789,65712,0.38,,,
67164,65712,0.5,,,
65712,66542,0.48,,,
66542,65712,0.48,,,
64662,65712,0.38,,,
65712,64797,0.49,,,
64797,65712,0.49,,,
65712,65049,0.45,,,
65049,65712,0.45,,,
65712,65239,0.41,,,
65239,65712,0.41,,,
65344,65712,0.14,,,
65712,65355,0.28,,,
65355,65712,0.28,,,
131549,131265,0.1,,,
131558,131265,0.35,,,
164035,164064,0.44,,,
164064,164035,0.44,,,
164035,164664,0.48,,,
164664,164035,0.48,,,
65754,65870,0.25,,,
65870,65754,0.25,,,
65754,65599,0.25,,,
65599,65754,0.25,,,
65754,65950,0.07,,,
65950,65754,0.07,,,
65754,65969,0.26,,,
65969,65754,0.26,,,
65754,66311,0.5,,,
65754,66315,0.45,,,
65754,66324,0.32,,,
66324,65754,0.32,,,
65754,66346,0.2,,,
66346,65754,0.2,,,
66375,65754,0.32,,,
65754,66381,0.43,,,
65754,64561,0.5,,,
64561,65754,0.5,,,
65754,64925,0.39,,,
64925,65754,0.39,,,
65754,65241,0.31,,,
65241,65754,0.31,,,
98523,97136,0.49,,,
97136,98523,0.49,,,
98523,98302,0.26,,,
98302,98523,0.26,,,
163877,164127,0.24,,,
164127,163877,0.24,,,
163877,164144,0.1,,,
163877,164489,0.42,,,
164489,163877,0.42,,,
163877,164495,0.32,,,
164495,163877,0.32,,,
163877,164505,0.21,,,
164505,163877,0.21,,,
163877,164533,0.34,,,
164533,163877,0.34,,,
163877,164550,0.44,,,
164550,163877,0.44,,,
164815,163877,0.33,,,
163877,164896,0.37,,,
164896,163877,0.37,,,
163877,165176,0.5,,,
165176,163877,0.5,,,
163877,164846,0.47,,,
164846,163877,0.47,,,
163877,162599,0.48,,,
162599,163877,0.48,,,
163877,183579,0.49,,,
163877,186152,0.36,,,
186152,163877,0.36,,,
163877,163072,0.29,,,
163877,163215,0.28,,,
163215,163877,0.28,,,
163877,163630,0.1,,,
163877,163692,0.47,,,
163692,163877,0.47,,,
163877,163788,0.06,,,
163877,163821,0.2,,,
163821,163877,0.2,,,
164064,164583,0.42,,,
164583,164064,0.42,,,
65762,65923,0.26,,,
65923,65762,0.26,,,
65762,66100,0.28,,,
66100,65762,0.28,,,
65762,66493,0.35,,,
66493,65762,0.35,,,
65762,66507,0.25,,,
65762,66835,0.45,,,
66835,65762,0.45,,,
65762,64716,0.38,,,
65762,64865,0.41,,,
64865,65762,0.41,,,
65762,64913,0.31,,,
65762,65062,0.36,,,
65062,65762,0.36,,,
65762,65393,0.29,,,
65393,65762,0.29,,,
65771,65870,0.49,,,
65870,65771,0.49,,,
65771,65599,0.5,,,
65599,65771,0.5,,,
65771,66275,0.4,,,
66275,65771,0.4,,,
65771,66278,0.36,,,
66278,65771,0.36,,,
65771,66286,0.24,,,
66286,65771,0.24,,,
66294,65771,0.18,,,
65771,66303,0.21,,,
66303,65771,0.21,,,
65771,66305,0.25,,,
66305,65771,0.25,,,
65771,66311,0.34,,,
66311,65771,0.34,,,
65771,66315,0.38,,,
66315,65771,0.38,,,
65771,66367,0.19,,,
65771,66688,0.31,,,
65771,67054,0.43,,,
65771,64670,0.4,,,
65771,64888,0.33,,,
65771,65068,0.36,,,
65771,65480,0.11,,,
98554,98945,0.47,,,
98945,98554,0.47,,,
98991,98554,0.32,,,
97774,98554,0.28,,,
98266,98554,0.13,,,
98281,98554,0.15,,,
98575,98740,0.18,,,
98575,98878,0.41,,,
131346,131616,0.3,,,
131616,131346,0.3,,,
131346,199215,0.35,,,
199215,131346,0.35,,,
131346,199222,0.24,,,
199222,131346,0.24,,,
131346,199347,0.43,,,
199347,131346,0.43,,,
131346,199398,0.24,,,
199398,131346,0.24,,,
131346,199216,0.3,,,
199216,131346,0.3,,,
131346,130919,0.32,,,
130919,131346,0.32,,,
164118,164127,0.28,,,
164127,164118,0.28,,,
164495,164118,0.28,,,
164118,165176,0.43,,,
165176,164118,0.43,,,
164118,163215,0.5,,,
163215,164118,0.5,,,
164118,163788,0.48,,,
163788,164118,0.48,,,
164118,163821,0.32,,,
163821,164118,0.32,,,
65815,66921,0.45,,,
98587,97438,0.49,,,
97438,98587,0.49,,,
164127,164144,0.22,,,
164144,164127,0.22,,,
164127,164489,0.18,,,
164489,164127,0.18,,,
164495,164127,0.12,,,
164505,164127,0.25,,,
164127,164533,0.5,,,
164533,164127,0.5,,,
164815,164127,0.41,,,
164127,164896,0.44,,,
164896,164127,0.44,,,
164127,165176,0.34,,,
165176,164127,0.34,,,
164127,165559,0.46,,,
165559,164127,0.46,,,
164127,186152,0.34,,,
186152,164127,0.34,,,
164127,163072,0.45,,,
163072,164127,0.45,,,
163215,164127,0.35,,,
164127,163255,0.43,,,
163255,164127,0.43,,,
164127,163385,0.4,,,
163385,164127,0.4,,,
164127,163630,0.29,,,
163630,164127,0.29,,,
164127,163817,0.3,,,
163817,164127,0.3,,,
164127,163788,0.22,,,
163788,164127,0.22,,,
16433,16491,0.25,,,
16491,16433,0.25,,,
15879,16433,0.46,,,
16186,16433,0.21,,,
16433,16187,0.26,,,
16187,16433,0.26,,,
16433,16188,0.28,,,
16188,16433,0.28,,,
16433,16197,0.48,,,
16197,16433,0.48,,,
16433,16565,0.12,,,
16565,16433,0.12,,,
16658,16433,0.18,,,
16433,16817,0.45,,,
16817,16433,0.45,,,
16433,16947,0.49,,,
16947,16433,0.49,,,
16433,16950,0.46,,,
16433,16964,0.43,,,
16964,16433,0.43,,,
16433,16966,0.44,,,
16966,16433,0.44,,,
16433,16970,0.47,,,
16433,17056,0.49,,,
17056,16433,0.49,,,
