fare_id,route_id,origin_id,destination_id,contains_id
METRO_1Z,1_1196,4,4,
METRO_2Z,1_1196,3,4,
METRO_1Z,1_1196,3,3,
METRO_1Z,1_1197,4,4,
METRO_2Z,1_1197,3,4,
METRO_1Z,1_1197,3,3,
METRO_1Z,1_1200,3,3,
METRO_1Z,1_1201,3,3,
METRO_1Z,1_1202,4,4,
METRO_2Z,1_1202,3,4,
METRO_1Z,1_1202,3,3,
METRO_2Z,1_1202,4,3,
METRO_1Z,1_1203,3,3,
METRO_1Z,1_1204,3,3,
METRO_1Z,1_1205,4,4,
METRO_2Z,1_1205,3,4,
METRO_1Z,1_1205,3,3,
METRO_1Z,1_1206,3,3,
METRO_1Z,1_1207,3,3,
METRO_1Z,1_1208,3,3,
METRO_1Z,1_1209,3,3,
METRO_1Z,1_1210,4,4,
METRO_2Z,1_1210,3,4,
METRO_1Z,1_1210,3,3,
METRO_1Z,1_1211,4,4,
METRO_2Z,1_1211,3,4,
METRO_1Z,1_1211,3,3,
METRO_1Z,1_1212,4,4,
METRO_1Z,1_1212,3,3,
METRO_2Z,1_1212,4,3,
METRO_2Z,1_1212,3,4,
METRO_1Z,1_1214,4,4,
METRO_2Z,1_1214,3,4,
METRO_1Z,1_1214,3,3,
METRO_1Z,1_1215,4,4,
METRO_2Z,1_1215,3,4,
METRO_1Z,1_1215,3,3,
METRO_1Z,1_1216,4,4,
METRO_2Z,1_1216,3,4,
METRO_1Z,1_1216,3,3,
METRO_1Z,1_1217,4,4,
METRO_1Z,1_1217,3,3,
METRO_2Z,1_1217,4,3,
METRO_1Z,1_1218,4,4,
METRO_2Z,1_1218,3,4,
METRO_1Z,1_1218,3,3,
METRO_1Z,1_1219,3,3,
METRO_1Z,1_1221,3,3,
METRO_1Z,1_1222,3,3,
METRO_1Z,1_1225,4,4,
METRO_2Z,1_1225,3,4,
METRO_1Z,1_1225,3,3,
METRO_1Z,1_1229,4,4,
METRO_2Z,1_1229,3,4,
METRO_1Z,1_1229,3,3,
METRO_1Z,1_1230,3,3,
METRO_1Z,1_1232,3,3,
METRO_1Z,1_1233,3,3,
METRO_1Z,1_1234,3,3,
METRO_1Z,1_1236,3,3,
METRO_1Z,1_1273,3,3,
METRO_1Z,1_1238,3,3,
METRO_1Z,1_1240,3,3,
METRO_1Z,1_1242,4,4,
METRO_2Z,1_1242,3,4,
METRO_1Z,1_1242,3,3,
METRO_2Z,1_1242,4,3,
METRO_1Z,1_1243,4,4,
METRO_2Z,1_1243,3,4,
METRO_1Z,1_1243,3,3,
METRO_2Z,1_1243,4,3,
METRO_1Z,1_1244,3,3,
METRO_1Z,1_1245,3,3,
METRO_1Z,1_1247,3,3,
METRO_1Z,1_1248,3,3,
METRO_1Z,1_1249,3,3,
METRO_1Z,1_1250,4,4,
METRO_2Z,1_1250,3,4,
METRO_1Z,1_1250,3,3,
METRO_1Z,1_1251,3,3,
METRO_1Z,1_1252,4,4,
METRO_2Z,1_1252,3,4,
METRO_1Z,1_1252,3,3,
METRO_1Z,1_1253,3,3,
METRO_1Z,1_1255,4,4,
METRO_1Z,1_1255,3,3,
METRO_2Z,1_1255,4,3,
METRO_2Z,1_1255,3,4,
METRO_1Z,1_1256,4,4,
METRO_1Z,1_1256,3,3,
METRO_2Z,1_1256,4,3,
METRO_1Z,1_1257,4,4,
METRO_2Z,1_1257,3,4,
METRO_1Z,1_1257,3,3,
METRO_1Z,1_1260,4,4,
METRO_2Z,1_1260,3,4,
METRO_1Z,1_1260,3,3,
METRO_1Z,1_1261,4,4,
METRO_2Z,1_1261,3,4,
METRO_1Z,1_1261,3,3,
METRO_1Z,1_1265,4,4,
METRO_2Z,1_1265,3,4,
METRO_1Z,1_1265,3,3,
METRO_1Z,1_1266,4,4,
METRO_2Z,1_1266,3,4,
METRO_1Z,1_1266,3,3,
METRO_1Z,1_1268,4,4,
METRO_2Z,1_1268,3,4,
METRO_1Z,1_1268,3,3,
METRO_1Z,1_1269,3,3,
METRO_1Z,1_1271,4,4,
METRO_2Z,1_1271,3,4,
METRO_1Z,1_1271,3,3,
METRO_2Z,1_1271,4,3,
METRO_1Z,1_1272,4,4,
METRO_2Z,1_1272,3,4,
METRO_1Z,1_1272,3,3,
METRO_1Z,1_1277,4,4,
METRO_2Z,1_1277,3,4,
METRO_1Z,1_1277,3,3,
METRO_1Z,1_1291,3,3,
METRO_1Z,1_1301,3,2,
METRO_1Z,1_1301,3,3,
METRO_1Z,1_1301,4,4,
METRO_1Z,1_1301,2,3,
METRO_1Z,1_1301,2,2,
METRO_2Z,1_1301,3,4,
METRO_2Z,1_1301,2,4,
METRO_2Z,1_1301,4,3,
METRO_1Z,1_1303,4,4,
METRO_2Z,1_1303,3,4,
METRO_1Z,1_1303,3,3,
METRO_1Z,1_1304,4,4,
METRO_2Z,1_1304,3,4,
METRO_1Z,1_1304,3,3,
METRO_2Z,1_1304,4,3,
METRO_1Z,1_1306,4,4,
METRO_2Z,1_1306,3,4,
METRO_1Z,1_1306,3,3,
METRO_1Z,1_1308,4,4,
METRO_2Z,1_1308,3,4,
METRO_1Z,1_1308,3,3,
METRO_2Z,1_1308,4,3,
METRO_1Z,1_1311,4,4,
METRO_2Z,1_1311,3,4,
METRO_1Z,1_1311,3,3,
METRO_1Z,1_1312,4,4,
METRO_2Z,1_1312,3,4,
METRO_1Z,1_1312,3,3,
METRO_1Z,1_1316,4,4,
METRO_2Z,1_1316,3,4,
METRO_1Z,1_1316,3,3,
METRO_1Z,1_1330,4,4,
METRO_1Z,1_1330,3,3,
METRO_2Z,1_1330,4,3,
METRO_2Z,1_1330,3,4,
METRO_1Z,1_1331,3,2,
METRO_1Z,1_1331,2,3,
METRO_1Z,1_1331,3,3,
METRO_1Z,1_1331,2,2,
METRO_1Z,1_1342,3,2,
METRO_1Z,1_1342,2,3,
METRO_1Z,1_1342,3,3,
METRO_1Z,1_1342,2,2,
METRO_1Z,1_1345,4,4,
METRO_2Z,1_1345,3,4,
METRO_1Z,1_1345,3,3,
METRO_2Z,1_1345,4,3,
METRO_1Z,1_1346,4,4,
METRO_2Z,1_1346,3,4,
METRO_1Z,1_1346,3,3,
METRO_2Z,1_1346,4,3,
METRO_1Z,1_1347,3,3,
METRO_1Z,1_1347,4,4,
METRO_1Z,1_1347,2,3,
METRO_1Z,1_1347,2,2,
METRO_2Z,1_1347,3,4,
METRO_2Z,1_1347,2,4,
METRO_1Z,1_1347,3,2,
METRO_2Z,1_1347,4,3,
METRO_2Z,1_1347,4,2,
METRO_1Z,1_1348,4,4,
METRO_1Z,1_1348,3,3,
METRO_2Z,1_1348,4,3,
METRO_2Z,1_1348,3,4,
METRO_1Z,1_1355,4,4,
METRO_2Z,1_1355,3,4,
METRO_1Z,1_1355,3,3,
METRO_1Z,1_1358,4,4,
METRO_2Z,1_1358,3,4,
METRO_1Z,1_1358,3,3,
METRO_2Z,1_1358,4,3,
METRO_1Z,1_1372,4,4,
METRO_2Z,1_1372,3,4,
METRO_1Z,1_1372,3,3,
METRO_2Z,1_1372,4,3,
METRO_1Z,1_1373,4,4,
METRO_2Z,1_1373,3,4,
METRO_1Z,1_1373,3,3,
ST_EXPRESS_1Z,1_6522,4,4,
ST_EXPRESS_1Z,1_6522,3,3,
ST_EXPRESS_1Z,1_6522,4,3,
ST_EXPRESS_1Z,1_6522,3,4,
ST_EXPRESS_1Z,1_6540,4,4,
ST_EXPRESS_1Z,1_6540,3,3,
ST_EXPRESS_1Z,1_6540,4,3,
ST_EXPRESS_1Z,1_6540,3,4,
ST_EXPRESS_1Z,1_6545,4,4,
ST_EXPRESS_1Z,1_6545,3,3,
ST_EXPRESS_1Z,1_6545,4,3,
ST_EXPRESS_1Z,1_6545,3,4,
ST_EXPRESS_1Z,1_6550,4,4,
ST_EXPRESS_1Z,1_6550,3,3,
ST_EXPRESS_1Z,1_6550,4,3,
ST_EXPRESS_1Z,1_6550,3,4,
ST_EXPRESS_1Z,1_6554,4,4,
ST_EXPRESS_1Z,1_6554,3,4,
ST_EXPRESS_1Z,1_6554,3,3,
ST_EXPRESS_1Z,1_6554,4,3,
ST_EXPRESS_1Z,1_6555,4,4,
ST_EXPRESS_1Z,1_6555,3,3,
ST_EXPRESS_1Z,1_6555,4,3,
ST_EXPRESS_1Z,1_6556,4,4,
ST_EXPRESS_1Z,1_6556,3,4,
ST_EXPRESS_1Z,1_6556,3,3,
ST_EXPRESS_1Z,1_6560,4,4,
ST_EXPRESS_1Z,1_6560,3,3,
ST_EXPRESS_1Z,1_6560,4,3,
ST_EXPRESS_1Z,1_6560,3,4,
ST_EXPRESS_1Z,1_6566,3,3,
ST_EXPRESS_1Z,1_6577,4,4,
ST_EXPRESS_1Z,1_6577,3,4,
ST_EXPRESS_1Z,1_6577,3,3,
ST_EXPRESS_1Z,1_6599,4,4,
ST_EXPRESS_1Z,1_6599,3,4,
ST_EXPRESS_1Z,1_6599,3,3,
ST_EXPRESS_1Z,1_6599,4,3,
METRO_1Z,1_1600,4,4,
METRO_1Z,1_1600,3,3,
METRO_2Z,1_1600,4,3,
METRO_1Z,1_1661,4,4,
METRO_1Z,1_1885,3,3,
METRO_1Z,1_1886,3,3,
METRO_1Z,1_1888,3,3,
METRO_1Z,1_1889,3,3,
METRO_1Z,1_1890,3,3,
METRO_1Z,1_1891,3,3,
METRO_1Z,1_1892,3,3,
METRO_1Z,1_1901,3,3,
METRO_1Z,1_1903,5,5,
METRO_1Z,1_1903,5,3,
METRO_1Z,1_1903,3,3,
METRO_1Z,1_1903,3,5,
METRO_1Z,1_1908,3,3,
METRO_1Z,1_1909,3,3,
METRO_1Z,1_1913,3,3,
METRO_1Z,1_1915,3,3,
METRO_1Z,1_1917,3,3,
METRO_1Z,1_1918,3,3,
METRO_1Z,1_1919,3,3,
METRO_1Z,1_1921,3,3,
METRO_1Z,1_1926,3,3,
METRO_1Z,1_1927,3,3,
METRO_1Z,1_1929,3,3,
