from_stop_id,to_stop_id,transfer_type,min_transfer_time
99223,98705,0,
98705,99572,0,
99572,98705,0,
98705,100027,0,
100027,98705,0,
98705,100037,0,
100037,98705,0,
98705,100057,0,
100057,98705,0,
98705,100080,0,
100080,98705,0,
98705,100095,0,
100095,98705,0,
98705,97727,0,
97727,98705,0,
98705,98139,0,
98139,98705,0,
98705,98193,0,
98193,98705,0,
98708,98890,0,
98890,98708,0,
54681,199507,0,
199507,54681,0,
53583,54681,0,
54681,53604,0,
53604,54681,0,
54681,53824,0,
53824,54681,0,
54681,53922,0,
53922,54681,0,
53947,54681,0,
54681,53966,0,
53966,54681,0,
54681,54064,0,
54064,54681,0,
54681,54132,0,
54132,54681,0,
54681,54136,0,
54136,54681,0,
54681,54266,0,
54266,54681,0,
53628,54681,0,
65950,65969,0,
65969,65950,0,
65950,66311,0,
66311,65950,0,
65950,66315,0,
66315,65950,0,
66324,65950,0,
65950,66346,0,
66346,65950,0,
65950,66358,0,
66358,65950,0,
65950,66375,0,
66375,65950,0,
65950,66381,0,
66381,65950,0,
65950,67118,0,
67118,65950,0,
131487,131503,0,
131502,131503,0,
131527,131503,0,
131533,131503,0,
98736,98816,0,
98816,98736,0,
98736,99801,0,
99801,98736,0,
98736,97442,0,
97442,98736,0,
65969,66346,0,
66346,65969,0,
65969,66358,0,
66358,65969,0,
66375,65969,0,
65969,66381,0,
66381,65969,0,
65969,66388,0,
66388,65969,0,
65969,66397,0,
66397,65969,0,
65969,67118,0,
98878,98740,0,
131527,131545,0,
65997,66374,0,
66374,65997,0,
66950,65997,0,
65997,67284,0,
65997,67296,0,
67296,65997,0,
65109,65997,0,
65362,65997,0,
103843,103471,0,
103471,103843,0,
104440,103843,0,
103843,104525,0,
104525,103843,0,
103843,104527,0,
104527,103843,0,
105011,103843,0,
92921,91853,0,
91853,92921,0,
92921,91894,0,
92921,91942,0,
92921,92742,0,
92742,92921,0,
92748,92921,0,
92921,92961,0,
93180,92921,0,
131533,131545,0,
131549,130841,0,
66014,66460,0,
66460,66014,0,
66617,66014,0,
66014,66625,0,
66625,66014,0,
66014,66635,0,
66635,66014,0,
66014,66971,0,
66971,66014,0,
66014,67326,0,
65427,66021,0,
131558,130841,0,
185767,198829,0,
198829,185767,0,
185767,198830,0,
198830,185767,0,
185767,198969,0,
198969,185767,0,
198970,185767,0,
185767,198971,0,
198971,185767,0,
185767,198973,0,
198973,185767,0,
185767,199031,0,
199031,185767,0,
185767,199037,0,
199037,185767,0,
199038,185767,0,
185767,199458,0,
199458,185767,0,
185767,199495,0,
199495,185767,0,
185767,199612,0,
199612,185767,0,
185767,199610,0,
199610,185767,0,
185767,183608,0,
183608,185767,0,
185767,183609,0,
183609,185767,0,
185767,85912,0,
85912,185767,0,
185767,85948,0,
85948,185767,0,
185767,86013,0,
86013,185767,0,
185767,86046,0,
86046,185767,0,
185767,86093,0,
86093,185767,0,
185767,86124,0,
86124,185767,0,
185767,184447,0,
184447,185767,0,
185767,86157,0,
86157,185767,0,
185767,86171,0,
86171,185767,0,
185767,86204,0,
86204,185767,0,
185767,86225,0,
86225,185767,0,
185767,86266,0,
86266,185767,0,
185767,86285,0,
86285,185767,0,
185767,86298,0,
86298,185767,0,
185767,86311,0,
86311,185767,0,
185767,86349,0,
86349,185767,0,
185767,86438,0,
86438,185767,0,
185767,86466,0,
86466,185767,0,
185767,86532,0,
86532,185767,0,
185767,86547,0,
86547,185767,0,
185767,86562,0,
86562,185767,0,
185767,86583,0,
86583,185767,0,
185767,86603,0,
