route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
1_1212,PSRC,MK212,212 EGTE P&R-SCBD W*,,3
1_1214,PSRC,MK214,214 NBND-ISS-SCBD WB,,3
1_1215,PSRC,MK215,215 N Bend to Issaq*,,3
1_1216,PSRC,MK216,216 SAMMSH-SEACBD W*,,3
1_1217,PSRC,MK217,217 N IS-EGT-SCBD E*,,3
1_1218,PSRC,MK218,218 ISS HLND-SCBD W*,,3
1_1219,PSRC,MK219,219 FACT-NEWCS CW SB,,3
1_1221,PSRC,MK221,221 Ed Hill-Xroads *,,3
1_1222,PSRC,MK222,222 OVRL-EGT-BELV WB,,3
1_1225,PSRC,MK225,225 OVLK-EGT-SCBD WB,,3
1_1229,PSRC,MK229,229 OVLK-EGT-SCBD W*,,3
1_1230,PSRC,MK230,230 KNGSG-BTC-RED SB,,3
1_1232,PSRC,MK232,232 DUVLL-RED-BEL SB,,3
1_1233,PSRC,MK233,233 AVNDL-OVLK-BL SB,,3
1_1234,PSRC,MK234,234 KENMR-KRK-BEL SB,,3
1_1236,PSRC,MK236,236 WOOD-KNGT-KRK SB,,3
1_1238,PSRC,MK238,MK238a,,3
1_1240,PSRC,MK240,240 BEL-NEWC-RENT SB,,3
1_1242,PSRC,MK242,242 NRTHCTY-OVRLK E*,,3
1_1243,PSRC,MK243,243 JC PK-LKC-BEL E*,,3
1_1244,PSRC,MK244,244 Kenmore P&R to *,,3
1_1245,PSRC,MK245,245 KRK-OVRLK-FCT SB,,3
1_1247,PSRC,MK247,247 OVRLK-RNT-KNT S*,,3
1_1248,PSRC,MK248,248 Avondl-Redmnd T*,,3
1_1249,PSRC,MK249,249 BEL-OVRLK-RDM SB,,3
1_1250,PSRC,MK250,250 RED-OVLK-SCBD W*,,3
1_1251,PSRC,MK251,251 UW BTH-RD-KRK SB,,3
1_1252,PSRC,MK252,252 KINGSGTE-SCBD W*,,3
1_1253,PSRC,MK253,253 RED-OVRLK-BEL SB,,3
1_1255,PSRC,MK255,255 JNTA-KRK-SCBD WB,,3
1_1256,PSRC,MK256,256 OVERLK-SEACBD EB,,3
1_1257,PSRC,MK257,257 BRICKYRD-SCBD W*,,3
1_1260,PSRC,MK260,260 JUANTA-SEACBD WB,,3
1_1261,PSRC,MK261,261 OVLK-BTC-SCBD W*,,3
1_1265,PSRC,MK265,265 RED-HGHT-SCBD W*,,3
1_1266,PSRC,MK266,266 REDMND-SEACBD W*,,3
1_1268,PSRC,MK268,268 REDMN-SEACBD WB*,,3
1_1269,PSRC,MK269,269 OVLK-SAHL-ISS SB,,3
1_1271,PSRC,MK271,271 ISSQH-BELV-UW WB,,3
1_1272,PSRC,MK272,272 EGT-CRSRDS-UW WB,,3
1_1273,PSRC,MK273,237 Woddvil-BellTC,,3
1_1277,PSRC,MK277,277 JUANITA-UW WB**,,3
1_1291,PSRC,MK291,291 KNGSGTE-REDMD SB,,3
